block,species,chr,chr_beg,chr_end,orientation
669,NC_017265.1,1,2458456,2460409,+
668,NZ_CP064117.1,1,3049672,3051623,+
668,NZ_CP045163.1,1,3002244,3004195,+
667,NZ_CP019708.1,1,1415784,1417228,+
667,NZ_CP019708.1,1,4518680,4520093,+
666,NZ_CP019708.1,1,266575,268146,+
666,NZ_CP019710.1,1,24995,26550,+
665,NC_017160.1,1,3029138,3031090,+
665,NC_014029.1,1,3104164,3106116,+
664,NC_017160.1,1,1612425,1614366,+
664,NC_010159.1,1,2930041,2932004,-
663,NC_017160.1,1,12002,13837,+
663,NC_017160.1,1,4361149,4362983,-
663,NZ_CP009906.1,1,2225630,2227465,-
662,NC_005810.1,1,3674930,3677389,+
662,NZ_CP064124.1,1,114892,117351,+
661,NC_005810.1,1,3164884,3166198,+
661,NC_010159.1,1,2246630,2247935,+
661,NZ_CP064124.1,1,1883047,1884360,-
660,NC_005810.1,1,3141279,3143218,+
660,NZ_CP064124.1,1,4036058,4038010,-
659,NC_005810.1,1,3028913,3030227,+
659,NC_010159.1,1,2955491,2956804,-
658,NC_005810.1,1,2799436,2801387,+
658,NZ_CP064124.1,1,3818669,3820621,-
657,NC_005810.1,1,2026899,2028839,+
657,NC_005815.1,1,81916,83868,+
657,NZ_CP064124.1,1,2356491,2358431,+
656,NC_005810.1,1,1998703,2000052,+
656,NC_010159.1,1,2442108,2443410,+
656,NC_010159.1,1,3048038,3049351,-
655,NC_005810.1,1,1897441,1899378,+
655,NZ_CP064124.1,1,2000002,2001939,+
654,NC_005810.1,1,425437,427378,+
654,NC_010159.1,1,4203609,4205548,-
653,NZ_CP010247.1,1,3609371,3610683,+
653,NC_010159.1,1,142780,144096,+
653,NZ_CP006748.1,1,503719,505031,-
652,NZ_CP010247.1,1,1620471,1622423,+
652,NC_008150.1,1,1307514,1309465,+
652,NC_008150.1,1,4321228,4323180,-
652,NC_008150.1,1,4629479,4631431,+
652,NZ_CP009906.1,1,2425695,2427647,-
652,NZ_CP009906.1,1,2733940,2735890,+
652,NZ_CP006748.1,1,2431779,2433731,-
651,NZ_CP010247.1,1,326305,328247,+
651,NC_008150.1,1,867936,869888,-
651,NZ_CP006748.1,1,3722103,3724044,-
650,NC_017168.1,1,4424808,4426760,+
650,NC_010159.1,1,3701667,3703620,-
649,NC_017168.1,1,2484915,2486841,+
649,NC_005810.1,1,936619,938547,-
649,NC_008150.1,1,1578999,1580954,-
649,NZ_CP009906.1,1,4674190,4676145,-
649,NZ_CP064124.1,1,971609,973548,+
648,NC_017168.1,1,2082776,2084726,+
648,NC_010159.1,1,3895371,3897329,+
647,NC_017168.1,1,1435499,1437461,+
647,NC_017160.1,1,1849322,1851276,-
647,NC_008150.1,1,3698187,3700148,-
647,NZ_CP009906.1,1,2086767,2088728,-
646,NZ_CP009785.1,1,4047400,4048648,+
646,NZ_CP009906.1,1,3107648,3108912,-
645,NZ_CP009785.1,1,1047901,1049853,+
645,NC_008150.1,1,1472448,1474399,-
644,NZ_CP009785.1,1,819879,821828,+
644,NC_008150.1,1,3498269,3500220,-
643,NZ_CP006790.1,1,72545,74495,+
643,NZ_CP033692.1,1,73945,75897,+
643,NZ_CP033693.1,1,29036,30988,+
643,NZ_CP045146.1,1,28035,29987,-
643,NZ_CP009989.1,1,88268,90220,-
643,NC_017266.1,1,72893,74845,-
643,NZ_CP045150.1,1,28040,29992,-
643,NZ_CP045259.1,1,28040,29992,-
642,NZ_CP064127.1,1,4299591,4301533,+
642,NZ_CP010247.1,1,530522,532465,+
642,NZ_CP006748.1,1,3517867,3519810,-
641,NZ_CP064127.1,1,3872489,3874428,+
641,NZ_CP064124.1,1,2225621,2227573,-
640,NZ_CP064127.1,1,2824857,2826170,+
640,NZ_CP010247.1,1,2269596,2270908,+
639,NZ_CP064127.1,1,2399824,2401777,+
639,NZ_CP064127.1,1,2866866,2868807,+
639,NZ_CP010247.1,1,2311417,2313369,+
639,NC_010159.1,1,3661023,3662976,-
639,NZ_CP006748.1,1,1562011,1563963,+
638,NZ_CP064127.1,1,2270965,2272277,+
638,NZ_CP010247.1,1,2842990,2844302,-
638,NC_005810.1,1,1878178,1879492,-
638,NC_008150.1,1,2670351,2671664,+
638,NZ_CP009906.1,1,1057356,1058669,+
638,NZ_CP006748.1,1,1268714,1270026,+
637,NZ_CP064127.1,1,2202043,2203995,+
637,NZ_CP010247.1,1,2911342,2913295,-
637,NC_010159.1,1,3052034,3053972,+
637,NZ_CP006748.1,1,1199721,1201673,+
636,NZ_CP064127.1,1,2182948,2184261,+
636,NZ_CP010247.1,1,2931167,2932480,-
636,NC_017160.1,1,2069601,2070903,-
636,NZ_CP006748.1,1,1180560,1181873,+
635,NZ_CP064127.1,1,2165416,2167368,+
635,NZ_CP010247.1,1,2948060,2950011,-
635,NZ_CP006748.1,1,1163028,1164980,+
635,NZ_CP064124.1,1,509941,511898,+
634,NZ_CP064127.1,1,2052076,2053492,+
634,NZ_CP010247.1,1,3062091,3063507,-
633,NZ_CP064127.1,1,1483178,1484620,+
633,NC_008150.1,1,1152848,1154285,+
633,NZ_CP009906.1,1,4248056,4249493,+
632,NZ_CP064127.1,1,795135,796447,+
632,NZ_CP010247.1,1,4312155,4313467,-
632,NC_005810.1,1,2843875,2845177,+
632,NC_008150.1,1,1018943,1020228,+
632,NZ_CP009906.1,1,4114158,4115441,+
632,NZ_CP006748.1,1,4266883,4268195,+
632,NZ_CP064124.1,1,2099484,2100798,-
631,NZ_CP064127.1,1,674345,676271,+
631,NZ_CP010247.1,1,4430927,4432853,-
631,NC_005810.1,1,1148707,1150633,-
631,NC_005810.1,1,1469142,1471093,-
631,NC_008150.1,1,2737979,2739918,-
631,NZ_CP009844.1,1,1658557,1660482,-
631,NC_010159.1,1,694327,696279,+
631,NZ_CP009906.1,1,1124983,1126919,-
631,NZ_CP006748.1,1,4147663,4149589,+
631,NZ_CP064124.1,1,1177329,1179255,-
630,NZ_CP064127.1,1,396997,403529,+
630,NZ_CP010247.1,1,211388,217920,-
630,NC_010159.1,1,3542280,3548812,-
630,NZ_CP006748.1,1,3832304,3838836,+
629,NZ_CP064127.1,1,286677,288671,+
629,NZ_CP010247.1,1,1066096,1068046,+
629,NC_008150.1,1,1375706,1377658,-
629,NZ_CP006748.1,1,2982375,2984325,-
628,NZ_CP064120.1,1,4355995,4357935,+
628,NZ_CP064117.1,1,4461420,4463360,+
627,NZ_CP064120.1,1,4109147,4110331,+
627,NZ_CP064117.1,1,4214571,4215755,+
627,NZ_CP006792.1,1,3359749,3360934,-
627,NZ_CP045163.1,1,4411490,4412661,-
626,NZ_CP064120.1,1,4107218,4109145,+
626,NZ_CP064117.1,1,4212642,4214569,+
626,NZ_CP045163.1,1,4163901,4165828,+
625,NZ_CP064120.1,1,3277246,3279203,+
625,NZ_CP064117.1,1,3382586,3384543,+
625,NZ_CP064124.1,1,2591212,2593164,+
624,NZ_CP064120.1,1,2625514,2627469,+
624,NZ_CP064117.1,1,2289973,2291928,+
624,NC_008150.1,1,586959,588913,+
624,NZ_CP009722.1,1,32382,34334,-
624,NZ_CP045163.1,1,2240089,2242044,+
623,NZ_CP064120.1,1,2136278,2137575,+
623,NZ_CP064117.1,1,2587644,2588941,-
623,NZ_CP006792.1,1,632692,633989,+
623,NC_010159.1,1,2668200,2669516,-
623,NZ_CP045163.1,1,2539729,2541026,-
622,NZ_CP064120.1,1,362518,364455,+
622,NZ_CP064117.1,1,366313,368250,+
621,NZ_CP064120.1,1,317373,319325,+
621,NZ_CP064117.1,1,321169,323121,+
621,NZ_CP045164.1,1,28041,29993,+
621,NZ_CP045163.1,1,321212,323164,+
620,NZ_CP064120.1,1,97719,99658,+
620,NZ_CP064117.1,1,97726,99665,+
620,NZ_CP006792.1,1,3549509,3551447,+
620,NZ_CP045163.1,1,97737,99676,+
619,NZ_CP045258.1,1,1023938,1025895,+
619,NC_005810.1,1,584055,586013,+
619,NC_008150.1,1,409130,411082,-
619,NC_008150.1,1,3094684,3096636,+
619,NZ_CP045149.1,1,3681145,3683086,+
618,NZ_CP009991.1,1,3779073,3780382,+
618,NZ_CP064127.1,1,1136077,1137402,+
618,NZ_CP010247.1,1,3972718,3974042,-
618,NZ_CP006748.1,1,140363,141688,+
618,NZ_CP009704.1,1,1487502,1488811,-
618,NC_017265.1,1,2948730,2950039,-
617,NZ_CP009991.1,1,2618192,2620049,+
617,NZ_CP009704.1,1,2647758,2649615,-
617,NC_017265.1,1,4109064,4110921,-
616,NZ_CP009991.1,1,2149945,2151897,+
616,NC_017265.1,1,54152,56104,-
615,NZ_CP009991.1,1,2147873,2149286,+
615,NC_005810.1,1,3822872,3824308,+
615,NZ_CP045149.1,1,4223402,4224815,+
615,NC_010159.1,1,4144210,4145638,+
615,NZ_CP009704.1,1,3127517,3128930,-
615,NC_017265.1,1,56763,58176,-
614,NZ_CP009991.1,1,1911811,1914794,+
614,NC_017265.1,1,291253,294236,-
613,NZ_CP009991.1,1,1610180,1611440,+
613,NZ_CP009906.1,1,4402715,4403959,-
612,NZ_CP009991.1,1,965096,966439,+
612,NC_008150.1,1,1253214,1254558,-
612,NZ_CP009906.1,1,4348419,4349763,-
612,NZ_CP009704.1,1,4310233,4311574,-
612,NC_017265.1,1,1239616,1240959,-
611,NZ_CP009991.1,1,419447,420743,+
611,NZ_CP009704.1,1,324119,325414,-
611,NC_017265.1,1,1785322,1786617,-
610,NZ_CP009991.1,1,114371,116310,+
610,NZ_CP009991.1,1,3359905,3361858,-
610,NZ_CP009704.1,1,628549,630488,-
610,NZ_CP009704.1,1,1906026,1907978,+
610,NC_017265.1,1,2089756,2091695,-
610,NC_017265.1,1,3367257,3369209,+
609,NC_003134.1,1,36357,37971,+
609,NC_014022.1,1,36358,37972,+
609,NZ_CP006790.1,1,10066,11681,-
609,NZ_CP033692.1,1,10834,12449,-
609,NZ_CP006746.1,1,83250,84890,+
609,NC_005815.1,1,36082,37711,+
609,NZ_CP033693.1,1,67511,69126,-
609,NZ_CP045164.1,1,90860,92474,+
609,NZ_CP009722.1,1,11472,13086,+
609,NC_010158.1,1,40785,42415,-
609,NZ_CP045146.1,1,90850,92464,+
609,NC_017155.1,1,36358,37972,+
609,NC_017158.1,1,36357,37970,+
609,NZ_CP010248.1,1,52251,53891,+
609,NZ_CP019709.1,1,45365,46979,+
609,NC_017169.1,1,13134,14748,+
609,NZ_CP045150.1,1,90855,92469,+
609,NZ_CP009784.1,1,45800,47414,+
609,NZ_CP016275.1,1,44124,45739,-
609,NZ_CP045259.1,1,90855,92469,+
608,NZ_CP045145.1,1,4217794,4219721,+
608,NZ_CP045258.1,1,4128214,4130150,+
608,NC_005810.1,1,4321900,4323836,+
608,NZ_CP045149.1,1,3891168,3893104,+
607,NZ_CP045145.1,1,3749503,3750940,+
607,NZ_CP009991.1,1,1404267,1405704,+
606,NZ_CP045145.1,1,3508111,3510063,+
606,NZ_CP006792.1,1,3769184,3771121,+
605,NZ_CP045145.1,1,1225052,1226363,+
605,NZ_CP010247.1,1,4524080,4525379,+
605,NC_005810.1,1,3289083,3290396,-
605,NC_008150.1,1,2823530,2824842,-
605,NC_010159.1,1,221851,223189,-
605,NC_010159.1,1,2550736,2552048,+
605,NC_010159.1,1,2816299,2817611,+
605,NC_010159.1,1,3724837,3726149,+
605,NZ_CP009906.1,1,1210531,1211843,-
605,NZ_CP064124.1,1,3398470,3399783,-
604,NZ_CP045145.1,1,1025554,1027505,+
604,NC_008150.1,1,4545180,4547119,-
603,NZ_CP010246.1,1,36744,38695,+
603,NZ_CP009785.1,1,2317745,2319736,-
603,NC_005810.1,1,467375,469322,-
603,NZ_CP006747.1,1,18961,20912,+
602,NZ_CP064125.1,1,4292344,4293715,+
602,NC_017265.1,1,1122225,1123594,-
601,NZ_CP064125.1,1,4078371,4080298,+
601,NZ_CP045145.1,1,546093,548029,-
601,NZ_CP045258.1,1,449866,451793,-
601,NZ_CP064120.1,1,3838097,3840024,+
601,NZ_CP064127.1,1,132792,134719,-
601,NZ_CP010247.1,1,912210,914137,-
601,NZ_CP064117.1,1,3943497,3945424,+
601,NC_008150.1,1,4028232,4030172,+
601,NZ_CP045149.1,1,301484,303411,-
601,NZ_CP006748.1,1,3136142,3138069,+
601,NZ_CP064124.1,1,353376,355303,-
601,NZ_CP045163.1,1,3894752,3896679,+
600,NZ_CP064125.1,1,3261650,3263959,+
600,NZ_CP045258.1,1,1266163,1268473,-
599,NZ_CP064125.1,1,2764053,2765055,+
599,NZ_CP019708.1,1,4072048,4073051,+
598,NZ_CP064125.1,1,2461707,2463022,+
598,NZ_CP045149.1,1,2111387,2112702,+
598,NC_010159.1,1,2450564,2451879,+
597,NZ_CP064125.1,1,2164322,2165610,+
597,NZ_CP045258.1,1,2364458,2365746,-
597,NZ_CP064127.1,1,2002730,2004047,+
596,NZ_CP064125.1,1,1886321,1888262,+
596,NZ_CP045258.1,1,2641794,2643734,-
595,NZ_CP064125.1,1,970793,972210,+
595,NZ_CP045145.1,1,1102789,1104206,+
595,NC_008150.1,1,2980213,2981630,-
595,NZ_CP045149.1,1,856768,858185,+
595,NZ_CP009906.1,1,1367199,1368616,-
595,NZ_CP045163.1,1,3341280,3342697,-
594,NZ_CP064125.1,1,858444,859458,+
594,NZ_CP064125.1,1,3505178,3506179,+
593,NZ_CP064125.1,1,172888,174840,+
593,NZ_CP045145.1,1,319376,321328,+
593,NZ_CP045258.1,1,4354810,4356762,-
593,NC_008150.1,1,790615,792565,+
593,NZ_CP045149.1,1,4267929,4269881,-
593,NZ_CP009906.1,1,3885847,3887797,+
592,NZ_CP064125.1,1,144915,147563,+
592,NZ_CP045258.1,1,4382087,4384735,-
591,NC_017157.1,1,11257,12564,+
591,NZ_CP064127.1,1,619973,621277,+
590,NZ_CP016273.1,1,3779751,3780934,+
590,NZ_CP009844.1,1,490643,491827,-
589,NZ_CP016273.1,1,3217115,3218739,+
589,NZ_CP006748.1,1,1713406,1715003,+
588,NZ_CP016273.1,1,1867915,1869855,+
588,NZ_CP009991.1,1,4427609,4429549,+
588,NZ_CP064120.1,1,2785456,2787396,-
588,NC_017168.1,1,3523601,3525541,-
588,NC_014029.1,1,2372616,2374556,-
588,NZ_CP045149.1,1,2312107,2314047,-
588,NZ_CP045163.1,1,1887978,1889918,+
588,NC_017265.1,1,2299550,2301490,-
587,NZ_CP009702.1,1,92886,98952,+
587,NC_003134.1,1,89814,95881,+
587,NC_014022.1,1,57592,63658,-
587,NZ_CP006790.1,1,85364,91431,+
587,NZ_CP033692.1,1,86764,92831,+
587,NZ_CP006746.1,1,109141,115207,-
587,NC_005815.1,1,63930,69986,-
587,NZ_CP033693.1,1,41855,47916,+
587,NZ_CP045164.1,1,11106,17172,-
587,NZ_CP009722.1,1,34665,40731,-
587,NC_010158.1,1,83687,89753,-
587,NZ_CP045146.1,1,11100,17166,-
587,NC_008120.1,1,57848,63927,-
587,NZ_CP009989.1,1,71333,77399,-
587,NC_017155.1,1,57590,63656,-
587,NC_017158.1,1,59386,65452,-
587,NC_017266.1,1,55958,62024,-
587,NZ_CP009843.1,1,30083,36150,+
587,NZ_CP010248.1,1,78142,84208,-
587,NZ_CP019709.1,1,2610,8677,+
587,NZ_CP009904.1,1,2584,8666,-
587,NC_017169.1,1,66591,72658,+
587,NZ_CP045150.1,1,11105,17171,-
587,NZ_CP009784.1,1,3047,9114,+
587,NZ_CP016275.1,1,82425,88491,-
587,NZ_CP045259.1,1,11105,17171,-
586,NZ_CP009702.1,1,90251,92885,+
586,NC_003134.1,1,87179,89813,+
586,NC_014022.1,1,63660,66294,-
586,NZ_CP006790.1,1,82729,85363,+
586,NZ_CP033692.1,1,84129,86763,+
586,NZ_CP006746.1,1,115209,117842,-
586,NC_005815.1,1,69988,72622,-
586,NZ_CP033693.1,1,39220,41854,+
586,NZ_CP045164.1,1,17174,19808,-
586,NZ_CP009722.1,1,40733,43367,-
586,NC_010158.1,1,89755,92389,-
586,NZ_CP045146.1,1,17168,19802,-
586,NC_008120.1,1,65888,68515,-
586,NZ_CP009989.1,1,77401,80035,-
586,NC_017155.1,1,63658,66292,-
586,NC_017158.1,1,65454,68088,-
586,NC_017266.1,1,62026,64660,-
586,NZ_CP009843.1,1,27448,30082,+
586,NZ_CP010248.1,1,84210,86843,-
586,NZ_CP019709.1,1,1,2609,+
586,NZ_CP009904.1,1,10620,13249,-
586,NC_017169.1,1,63956,66590,+
586,NZ_CP045150.1,1,17173,19807,-
586,NZ_CP009784.1,1,412,3046,+
586,NZ_CP016275.1,1,88493,91127,-
586,NZ_CP045259.1,1,17173,19807,-
585,NZ_CP009702.1,1,85183,89854,+
585,NC_003134.1,1,82111,86782,+
585,NC_014022.1,1,66691,71361,-
585,NZ_CP006790.1,1,77661,82332,+
585,NZ_CP033692.1,1,79063,83732,+
585,NZ_CP006746.1,1,118239,122908,-
585,NC_005815.1,1,73020,77690,-
585,NZ_CP033693.1,1,34154,38823,+
585,NZ_CP045164.1,1,20205,24875,-
585,NZ_CP009722.1,1,43764,48434,-
585,NZ_CP045146.1,1,20199,24869,-
585,NC_008120.1,1,68912,73582,-
585,NZ_CP009989.1,1,80432,85102,-
585,NC_017155.1,1,66689,71359,-
585,NC_017158.1,1,68484,73154,-
585,NC_017266.1,1,65057,69727,-
585,NZ_CP009843.1,1,22380,27051,+
585,NZ_CP010248.1,1,87240,91909,-
585,NZ_CP019709.1,1,91115,95786,+
585,NZ_CP009904.1,1,13646,18316,-
585,NC_017169.1,1,58888,63559,+
585,NZ_CP045150.1,1,20204,24874,-
585,NZ_CP009784.1,1,92265,96921,+
585,NZ_CP016275.1,1,91524,96210,-
585,NZ_CP045259.1,1,20204,24874,-
584,NZ_CP009702.1,1,84128,85182,+
584,NC_003134.1,1,81056,82110,+
584,NC_014022.1,1,71363,72417,-
584,NZ_CP006790.1,1,76606,77660,+
584,NZ_CP033692.1,1,78008,79062,+
584,NZ_CP006746.1,1,122910,123964,-
584,NC_005815.1,1,77692,78746,-
584,NZ_CP033693.1,1,33099,34153,+
584,NZ_CP045164.1,1,24877,25931,-
584,NZ_CP009722.1,1,48436,49490,-
584,NZ_CP045146.1,1,24871,25925,-
584,NC_008120.1,1,73584,74638,-
584,NZ_CP009989.1,1,85104,86158,-
584,NC_017155.1,1,71361,72415,-
584,NC_017158.1,1,73156,74210,-
584,NC_017266.1,1,69729,70783,-
584,NZ_CP009843.1,1,21325,22379,+
584,NZ_CP010248.1,1,91911,92965,-
584,NZ_CP019709.1,1,90060,91114,+
584,NZ_CP009904.1,1,18318,19372,-
584,NC_017169.1,1,57833,58887,+
584,NZ_CP045150.1,1,24876,25930,-
584,NZ_CP009784.1,1,91210,92264,+
584,NZ_CP016275.1,1,1,1040,-
584,NZ_CP045259.1,1,24876,25930,-
583,NZ_CP009702.1,1,82019,84126,+
583,NZ_CP006790.1,1,74497,76604,+
583,NZ_CP033692.1,1,75899,78006,+
583,NZ_CP006746.1,1,123965,126067,-
583,NC_005815.1,1,78747,80849,-
583,NZ_CP033693.1,1,30990,33097,+
583,NZ_CP045164.1,1,25932,28040,-
583,NZ_CP045146.1,1,25926,28034,-
583,NZ_CP009989.1,1,86159,88267,-
583,NC_017266.1,1,70784,72892,-
583,NZ_CP010248.1,1,92966,95068,-
583,NZ_CP045150.1,1,25931,28039,-
583,NZ_CP045259.1,1,25931,28039,-
582,NZ_CP009702.1,1,75283,80062,+
582,NC_003134.1,1,59221,63999,-
582,NC_014022.1,1,89472,94251,+
582,NZ_CP006790.1,1,67765,72544,+
582,NZ_CP033692.1,1,69165,73944,+
582,NZ_CP006746.1,1,41326,46105,+
582,NC_005815.1,1,83870,88724,-
582,NZ_CP033693.1,1,24256,29035,+
582,NZ_CP045164.1,1,49655,54434,+
582,NZ_CP009722.1,1,66546,71325,+
582,NC_010158.1,1,109791,114570,+
582,NZ_CP045146.1,1,29989,34767,-
582,NC_008120.1,1,91694,96471,+
582,NZ_CP009989.1,1,90222,95000,-
582,NC_017155.1,1,89470,94249,+
582,NC_017158.1,1,91267,96046,+
582,NC_017266.1,1,74847,79625,-
582,NZ_CP010248.1,1,10327,15106,+
582,NZ_CP019709.1,1,68229,73007,-
582,NZ_CP009904.1,1,36427,41206,+
582,NC_017169.1,1,35998,40776,-
582,NZ_CP045150.1,1,29994,34772,-
582,NZ_CP009784.1,1,68664,73442,-
582,NZ_CP016275.1,1,18096,22875,+
582,NZ_CP045259.1,1,29994,34772,-
581,NZ_CP009702.1,1,71013,75282,+
581,NC_003134.1,1,64001,68269,-
581,NC_014022.1,1,85202,89471,+
581,NZ_CP006790.1,1,63495,67764,+
581,NZ_CP033692.1,1,64895,69164,+
581,NZ_CP006746.1,1,37056,41325,+
581,NC_005815.1,1,88726,92994,-
581,NZ_CP033693.1,1,19986,24255,+
581,NZ_CP045164.1,1,45385,49654,+
581,NZ_CP009722.1,1,62276,66545,+
581,NC_010158.1,1,105521,109790,+
581,NZ_CP045146.1,1,34769,39037,-
581,NC_008120.1,1,87424,91693,+
581,NZ_CP009989.1,1,95002,99286,-
581,NC_017155.1,1,85200,89469,+
581,NC_017158.1,1,86997,91266,+
581,NC_017266.1,1,79627,83895,-
581,NZ_CP009843.1,1,4288,8538,-
581,NZ_CP010248.1,1,6057,10326,+
581,NZ_CP019709.1,1,73009,77277,-
581,NZ_CP009904.1,1,32157,36426,+
581,NC_017169.1,1,40778,45046,-
581,NZ_CP045150.1,1,34774,39042,-
581,NZ_CP009784.1,1,73444,77712,-
581,NZ_CP016275.1,1,13826,18095,+
581,NZ_CP045259.1,1,34774,39042,-
580,NZ_CP009702.1,1,66391,71012,+
580,NC_003134.1,1,68271,72892,-
580,NC_014022.1,1,80580,85201,+
580,NZ_CP006790.1,1,58873,63494,+
580,NZ_CP033692.1,1,60275,64894,+
580,NZ_CP006746.1,1,32434,37055,+
580,NC_005815.1,1,92996,97617,-
580,NZ_CP033693.1,1,15366,19985,+
580,NZ_CP045164.1,1,40763,45384,+
580,NZ_CP009722.1,1,57654,62275,+
580,NC_010158.1,1,100899,105520,+
580,NZ_CP045146.1,1,39039,43660,-
580,NC_008120.1,1,82802,87423,+
580,NZ_CP009989.1,1,1,4607,-
580,NC_017155.1,1,80578,85199,+
580,NC_017158.1,1,82373,86996,+
580,NC_017266.1,1,83897,88518,-
580,NZ_CP009843.1,1,8540,13161,-
580,NZ_CP010248.1,1,1435,6056,+
580,NZ_CP019709.1,1,77279,81900,-
580,NZ_CP009904.1,1,27535,32156,+
580,NC_017169.1,1,45048,49669,-
580,NZ_CP045150.1,1,39044,43665,-
580,NZ_CP009784.1,1,77714,82323,-
580,NZ_CP016275.1,1,9204,13825,+
580,NZ_CP045259.1,1,39044,43665,-
579,NZ_CP009702.1,1,62760,64828,+
579,NC_003134.1,1,74456,76523,-
579,NC_014022.1,1,76949,79017,+
579,NZ_CP006790.1,1,55242,57310,+
579,NZ_CP033692.1,1,56645,58712,+
579,NZ_CP006746.1,1,28803,30871,+
579,NC_005815.1,1,98497,100564,-
579,NZ_CP033693.1,1,11735,13803,+
579,NZ_CP045164.1,1,37132,39200,+
579,NZ_CP009722.1,1,54022,56090,+
579,NC_010158.1,1,97268,99336,+
579,NZ_CP045146.1,1,45223,47290,-
579,NC_008120.1,1,79170,81238,+
579,NZ_CP009989.1,1,6170,8237,-
579,NC_017155.1,1,76947,79015,+
579,NC_017158.1,1,78742,80810,+
579,NC_017266.1,1,90081,92148,-
579,NZ_CP009843.1,1,14725,16792,-
579,NZ_CP010248.1,1,134821,136889,+
579,NZ_CP019709.1,1,83461,85528,-
579,NZ_CP009904.1,1,23904,25972,+
579,NC_017169.1,1,51233,53300,-
579,NZ_CP045150.1,1,45228,47295,-
579,NZ_CP009784.1,1,84610,86677,-
579,NZ_CP016275.1,1,5572,7640,+
579,NZ_CP045259.1,1,45228,47295,-
578,NZ_CP009702.1,1,59543,62759,+
578,NC_003134.1,1,76525,79741,-
578,NC_014022.1,1,73732,76948,+
578,NZ_CP006790.1,1,52025,55241,+
578,NZ_CP033692.1,1,53435,56644,+
578,NZ_CP006746.1,1,25586,28802,+
578,NC_005815.1,1,100566,103782,-
578,NZ_CP033693.1,1,8520,11734,+
578,NZ_CP033693.1,1,110170,113378,+
578,NZ_CP045164.1,1,33915,37131,+
578,NZ_CP009722.1,1,50805,54021,+
