block,species,chr,chr_beg,chr_end,orientation
224,NZ_CP064124.1,1,1087150,1096410,+
224,NZ_CP045163.1,1,3325216,3334476,+
224,NC_017265.1,1,3324102,3333362,+
223,NZ_CP033690.1,1,4549749,4566287,+
223,NC_017154.1,1,3511391,3527928,+
223,NC_003143.1,1,3515931,3532469,+
223,NZ_CP009723.1,1,397149,413687,-
223,NZ_CP016273.1,1,3158283,3174821,+
223,NZ_CP064125.1,1,988276,1004814,-
223,NZ_CP045145.1,1,1120272,1136810,-
223,NZ_CP009991.1,1,3405015,3421552,-
223,NZ_CP045258.1,1,3524959,3541497,+
223,NZ_CP064120.1,1,3250791,3267329,+
223,NZ_CP064127.1,1,493144,509682,-
223,NZ_CP009785.1,1,2132216,2148754,-
223,NC_017168.1,1,2229498,2246036,-
223,NZ_CP010247.1,1,105934,122472,+
223,NC_005810.1,1,823056,839594,-
223,NC_017160.1,1,3493350,3509887,+
223,NZ_CP019708.1,1,3681458,3697996,-
223,NZ_CP064117.1,1,3356131,3372669,+
223,NZ_CP006792.1,1,4340568,4357106,-
223,NC_014029.1,1,3568377,3584915,+
223,NC_008150.1,1,2947600,2964139,+
223,NZ_CP009844.1,1,1549216,1565754,+
223,NZ_CP045149.1,1,874251,890789,-
223,NC_010159.1,1,3224763,3241288,+
223,NZ_CP009906.1,1,1334596,1351134,+
223,NZ_CP006748.1,1,3928463,3945001,-
223,NZ_CP009704.1,1,1846332,1862870,+
223,NZ_CP064124.1,1,1070611,1087149,+
223,NZ_CP045163.1,1,3308677,3325215,+
223,NC_017265.1,1,3307563,3324101,+
222,NZ_CP033690.1,1,4544032,4549747,+
222,NC_017154.1,1,3505667,3511389,+
222,NC_003143.1,1,3510207,3515929,+
222,NZ_CP009723.1,1,413688,419411,-
222,NZ_CP016273.1,1,3152559,3158281,+
222,NZ_CP064125.1,1,1004815,1010539,-
222,NZ_CP045145.1,1,1136811,1142534,-
222,NZ_CP009991.1,1,3421553,3427276,-
222,NZ_CP045258.1,1,3519235,3524957,+
222,NZ_CP064120.1,1,3245067,3250789,+
222,NZ_CP064127.1,1,510391,516141,-
222,NZ_CP009785.1,1,2148755,2154478,-
222,NC_017168.1,1,2246037,2251760,-
222,NZ_CP010247.1,1,99475,105225,+
222,NC_005810.1,1,839595,845318,-
222,NC_017160.1,1,3487626,3493348,+
222,NZ_CP019708.1,1,3697997,3703720,-
222,NZ_CP064117.1,1,3350407,3356129,+
222,NZ_CP006792.1,1,4357107,4362830,-
222,NC_014029.1,1,3562653,3568375,+
222,NC_008150.1,1,2941876,2947598,+
222,NZ_CP009844.1,1,1543492,1549214,+
222,NZ_CP045149.1,1,890790,896521,-
222,NC_010159.1,1,3218336,3224054,+
222,NZ_CP009906.1,1,1328872,1334594,+
222,NZ_CP006748.1,1,3945710,3951460,-
222,NZ_CP009704.1,1,1840608,1846330,+
222,NZ_CP064124.1,1,1064887,1070609,+
222,NZ_CP045163.1,1,3302953,3308675,+
222,NC_017265.1,1,3301839,3307561,+
221,NZ_CP033690.1,1,4527203,4542079,+
221,NC_017154.1,1,3490805,3505665,+
221,NC_003143.1,1,3495345,3510205,+
221,NZ_CP009723.1,1,419412,434273,-
221,NZ_CP016273.1,1,3137697,3152557,+
221,NZ_CP064125.1,1,1010540,1025401,-
221,NZ_CP045145.1,1,1142535,1157396,-
221,NZ_CP009991.1,1,3427277,3442138,-
221,NZ_CP045258.1,1,3504373,3519233,+
221,NZ_CP064120.1,1,3230205,3245065,+
221,NZ_CP064127.1,1,516142,531007,-
221,NZ_CP009785.1,1,2154479,2169340,-
221,NC_017168.1,1,2251761,2266622,-
221,NZ_CP010247.1,1,84609,99473,+
221,NC_005810.1,1,845319,860180,-
221,NC_017160.1,1,3472764,3487624,+
221,NZ_CP019708.1,1,3703721,3718580,-
221,NZ_CP064117.1,1,3335545,3350405,+
221,NZ_CP006792.1,1,4362831,4377692,-
221,NC_014029.1,1,3547791,3562651,+
221,NC_008150.1,1,2927019,2941874,+
221,NZ_CP009844.1,1,1528630,1543490,+
221,NZ_CP045149.1,1,896522,911383,-
221,NC_010159.1,1,3203556,3218334,+
221,NZ_CP009906.1,1,1314014,1328870,+
221,NZ_CP006748.1,1,3951461,3966326,-
221,NZ_CP009704.1,1,1825746,1840606,+
221,NZ_CP064124.1,1,1050021,1064885,+
221,NZ_CP045163.1,1,3288091,3302951,+
221,NC_017265.1,1,3286977,3301837,+
220,NZ_CP033690.1,1,4519292,4527201,+
220,NC_017154.1,1,3482887,3490803,+
220,NC_003143.1,1,3487433,3495343,+
220,NZ_CP009723.1,1,434274,442185,-
220,NZ_CP016273.1,1,3129785,3137695,+
220,NZ_CP064125.1,1,1025402,1033312,-
220,NZ_CP045145.1,1,1157397,1165307,-
220,NZ_CP009991.1,1,3442139,3450049,-
220,NZ_CP045258.1,1,3496462,3504371,+
220,NZ_CP064120.1,1,3222294,3230203,+
220,NZ_CP064127.1,1,531008,538918,-
220,NZ_CP009785.1,1,2169341,2177252,-
220,NC_017168.1,1,2266623,2274534,-
220,NZ_CP010247.1,1,76690,84607,+
220,NC_005810.1,1,860181,868091,-
220,NC_017160.1,1,3464853,3472762,+
220,NZ_CP019708.1,1,3718581,3726491,-
220,NZ_CP064117.1,1,3327634,3335543,+
220,NZ_CP006792.1,1,4377693,4385603,-
220,NC_014029.1,1,3539880,3547789,+
220,NC_008150.1,1,2919116,2927017,+
220,NZ_CP009844.1,1,1520718,1528628,+
220,NZ_CP045149.1,1,911384,919294,-
220,NC_010159.1,1,3021533,3029460,-
220,NZ_CP009906.1,1,1306111,1314012,+
220,NZ_CP006748.1,1,3966327,3974245,-
220,NZ_CP009704.1,1,1817835,1825744,+
220,NZ_CP064124.1,1,1042110,1050019,+
220,NZ_CP045163.1,1,3280180,3288089,+
220,NC_017265.1,1,3279066,3286975,+
219,NZ_CP033690.1,1,4500725,4516317,+
219,NC_017154.1,1,3464320,3479912,+
219,NC_003143.1,1,3466908,3482498,+
219,NZ_CP009723.1,1,447122,462710,-
219,NZ_CP016273.1,1,3109261,3124848,+
219,NZ_CP064125.1,1,1036287,1051860,-
219,NZ_CP045145.1,1,1168282,1183873,-
219,NZ_CP009991.1,1,3453024,3468612,-
219,NZ_CP045258.1,1,3477913,3493487,+
219,NZ_CP064120.1,1,3203728,3219319,+
219,NZ_CP064127.1,1,541893,557483,-
219,NZ_CP009785.1,1,2182189,2197777,-
219,NC_017168.1,1,2279471,2295059,-
219,NZ_CP010247.1,1,58123,73715,+
219,NC_005810.1,1,871100,886690,-
219,NC_017160.1,1,3446320,3461912,+
219,NZ_CP019708.1,1,3731425,3747003,-
219,NZ_CP064117.1,1,3309068,3324659,+
219,NZ_CP006792.1,1,4388578,4404169,-
219,NC_014029.1,1,3521313,3536905,+
219,NC_008150.1,1,2898581,2914173,+
219,NZ_CP009844.1,1,1500193,1515782,+
219,NZ_CP045149.1,1,922269,937860,-
219,NC_010159.1,1,3032435,3048037,-
219,NZ_CP009906.1,1,1285580,1301172,+
219,NZ_CP006748.1,1,3977220,3992812,-
219,NZ_CP009704.1,1,1799270,1814859,+
219,NZ_CP064124.1,1,1023508,1039084,+
219,NZ_CP045163.1,1,3261613,3277205,+
219,NC_017265.1,1,3260502,3276091,+
218,NZ_CP033690.1,1,4467139,4500724,+
218,NC_017154.1,1,3430691,3464319,+
218,NC_003143.1,1,3433323,3466907,+
218,NZ_CP009723.1,1,462712,496317,-
218,NZ_CP016273.1,1,3075642,3109260,+
218,NZ_CP064125.1,1,1051862,1085447,-
218,NZ_CP045145.1,1,1183875,1217460,-
218,NZ_CP009991.1,1,3468614,3502198,-
218,NZ_CP045258.1,1,3444357,3477912,+
218,NZ_CP064120.1,1,3170128,3203727,+
218,NZ_CP064127.1,1,557485,591053,-
218,NZ_CP009785.1,1,2197779,2231369,-
218,NC_017168.1,1,2295061,2328743,-
218,NZ_CP010247.1,1,24531,58122,+
218,NC_005810.1,1,886692,920275,-
218,NC_017160.1,1,3412681,3446319,+
218,NZ_CP019708.1,1,3747005,3780435,-
218,NZ_CP064117.1,1,3275468,3309067,+
218,NZ_CP006792.1,1,4404171,4437632,-
218,NC_014029.1,1,3487727,3521312,+
218,NC_008150.1,1,2864988,2898580,+
218,NZ_CP009844.1,1,1466552,1500192,+
218,NZ_CP045149.1,1,937862,971440,-
218,NC_010159.1,1,1300229,1333762,-
218,NZ_CP009906.1,1,1251987,1285579,+
218,NZ_CP006748.1,1,3992814,4026404,-
218,NZ_CP009704.1,1,1765685,1799269,+
218,NZ_CP064124.1,1,989895,1023507,+
218,NZ_CP045163.1,1,3228033,3261612,+
218,NC_017265.1,1,3226917,3260501,+
217,NZ_CP033690.1,1,4450794,4459562,+
217,NC_017154.1,1,2827593,2836361,+
217,NC_003143.1,1,3142371,3151139,+
217,NZ_CP009723.1,1,778362,787130,-
217,NZ_CP016273.1,1,2784700,2793468,+
217,NZ_CP064125.1,1,1093004,1101772,-
217,NZ_CP045145.1,1,1226365,1235128,-
217,NZ_CP009991.1,1,3509775,3518543,-
217,NZ_CP045258.1,1,3428032,3436800,+
217,NZ_CP064120.1,1,3153783,3162551,+
217,NZ_CP064127.1,1,598631,607387,-
217,NZ_CP009785.1,1,2515216,2523984,-
217,NC_017168.1,1,2486843,2495611,+
217,NZ_CP010247.1,1,8186,16953,+
217,NC_005810.1,1,927851,936618,-
217,NC_017160.1,1,3155030,3163798,-
217,NZ_CP019708.1,1,4062353,4071121,-
217,NZ_CP064117.1,1,3259123,3267891,+
217,NZ_CP006792.1,1,4445208,4453976,-
217,NC_014029.1,1,3230067,3238835,-
217,NC_008150.1,1,2848643,2857411,+
217,NZ_CP009844.1,1,1175618,1184386,+
217,NZ_CP045149.1,1,979017,987785,-
217,NC_010159.1,1,1341300,1350067,-
217,NZ_CP009906.1,1,1235642,1244410,+
217,NZ_CP006748.1,1,4033982,4042749,-
217,NZ_CP009704.1,1,1749340,1758108,+
217,NZ_CP064124.1,1,973550,982317,+
217,NZ_CP045163.1,1,3211688,3220456,+
217,NC_017265.1,1,3210571,3219340,+
216,NZ_CP033690.1,1,4442573,4448864,+
216,NC_017154.1,1,3183782,3190073,-
216,NC_003143.1,1,3134150,3140441,+
216,NZ_CP009723.1,1,789060,795351,-
216,NZ_CP016273.1,1,2776480,2782771,+
216,NZ_CP064125.1,1,1103702,1109993,-
216,NZ_CP045145.1,1,1237058,1243349,-
216,NZ_CP009991.1,1,3520475,3526766,-
216,NZ_CP045258.1,1,3419811,3426102,+
216,NZ_CP064120.1,1,3145562,3151853,+
216,NZ_CP064127.1,1,609317,615587,-
216,NZ_CP009785.1,1,2525914,2532205,-
216,NC_017168.1,1,2621983,2628274,-
216,NZ_CP010247.1,1,1,6256,+
216,NC_005810.1,1,1247385,1253676,+
216,NC_017160.1,1,3165728,3172018,-
216,NZ_CP019708.1,1,4073053,4079344,-
216,NZ_CP064117.1,1,3250902,3257193,+
216,NZ_CP006792.1,1,4455912,4462203,-
216,NC_014029.1,1,3240765,3247056,-
216,NC_008150.1,1,2840422,2846713,+
216,NZ_CP009844.1,1,1167395,1173686,+
216,NZ_CP045149.1,1,989715,996006,-
216,NC_010159.1,1,1971065,1977366,+
216,NZ_CP009906.1,1,1227422,1233713,+
216,NZ_CP006748.1,1,4044679,4050949,-
216,NZ_CP009704.1,1,1741119,1747409,+
216,NZ_CP064124.1,1,1275810,1282101,+
216,NZ_CP045163.1,1,3203467,3209758,+
216,NC_017265.1,1,3202350,3208641,+
215,NZ_CP033690.1,1,4426996,4436899,+
215,NC_017154.1,1,3195747,3205651,-
215,NC_003143.1,1,3118572,3128476,+
215,NZ_CP009723.1,1,801025,810929,-
215,NZ_CP016273.1,1,2760902,2770806,+
215,NZ_CP064125.1,1,1115667,1125571,-
215,NZ_CP045145.1,1,1249023,1258927,-
215,NZ_CP009991.1,1,3532440,3542346,-
215,NZ_CP045258.1,1,3404234,3414137,+
215,NZ_CP064120.1,1,3129984,3139888,+
215,NZ_CP009785.1,1,2537882,2547786,-
215,NC_017168.1,1,2633948,2643852,-
215,NZ_CP010247.1,1,4514169,4524079,+
215,NC_005810.1,1,1231808,1241711,+
215,NC_017160.1,1,3177692,3187596,-
215,NZ_CP019708.1,1,4085019,4094910,-
215,NZ_CP064117.1,1,3235324,3245228,+
215,NZ_CP006792.1,1,4467877,4477781,-
215,NC_014029.1,1,3252730,3262635,-
215,NC_008150.1,1,2824844,2834748,+
215,NZ_CP009844.1,1,1151817,1161721,+
215,NZ_CP045149.1,1,1001680,1011584,-
215,NC_010159.1,1,1955489,1965392,+
215,NZ_CP009906.1,1,1211845,1221749,+
215,NZ_CP006748.1,1,4056582,4066490,-
215,NZ_CP009704.1,1,1725539,1735445,+
215,NZ_CP064124.1,1,1260418,1270136,+
215,NZ_CP045163.1,1,3187889,3197793,+
215,NC_017265.1,1,3186770,3196676,+
214,NZ_CP033690.1,1,4413108,4426994,+
214,NC_017154.1,1,3109712,3122849,+
214,NC_003143.1,1,2887092,2900290,-
214,NZ_CP009723.1,1,1029225,1042423,+
214,NZ_CP016273.1,1,2529430,2542628,-
214,NZ_CP064125.1,1,1125572,1139503,-
214,NZ_CP045145.1,1,1258928,1272816,-
214,NZ_CP009991.1,1,3542347,3556234,-
214,NZ_CP045258.1,1,3390302,3404232,+
214,NZ_CP064120.1,1,3116111,3129982,+
214,NZ_CP009785.1,1,2766015,2779214,+
214,NC_017168.1,1,2862146,2875344,+
214,NZ_CP010247.1,1,4500895,4514167,+
214,NC_005810.1,1,1218658,1231806,+
214,NC_017160.1,1,2868403,2881540,-
214,NZ_CP019708.1,1,4230489,4244369,-
214,NZ_CP064117.1,1,3221451,3235322,+
214,NZ_CP006792.1,1,4477782,4491639,-
214,NC_014029.1,1,2943734,2956871,-
214,NC_008150.1,1,2810452,2823529,+
214,NZ_CP009844.1,1,1729071,1742269,+
214,NZ_CP045149.1,1,1011585,1025488,-
214,NC_010159.1,1,1942581,1955487,+
214,NZ_CP009906.1,1,1197453,1210530,+
214,NZ_CP006748.1,1,4066491,4079780,-
214,NZ_CP009704.1,1,1711653,1725537,+
214,NZ_CP064124.1,1,1247269,1260416,+
214,NZ_CP045163.1,1,3174016,3187887,+
214,NC_017265.1,1,3172882,3186768,+
